Wines,Points,Year
Joh. Jos. Prum Wehlener Sonnenuhr Riesling Auslese,93 ,2018 
Weingut Keller Dalsheimer Hubacker Riesling Grosses Gewachs,93 ,2018 
Egon Muller Scharzhofberger Riesling Auslese,93 ,2018 
Weingut Donnhoff Niederhauser Hermannshohle Riesling Grosses Gewachs,94 ,2018 
Weingut Keller Westhofener Kirchspiel Riesling Grosses Gewachs,96 ,2018 
Weingut Donnhoff Norheimer Dellchen Riesling Grosses Gewachs,93 ,2018 
Joh. Jos. Prum Wehlener Sonnenuhr Riesling Auslese Goldkapsel,96 ,2018 
Loosen Bros Dr. L Riesling,88 ,2018 
Joh. Jos. Prum Wehlener Sonnenuhr Riesling Spatlese,93 ,2018 
Weingut Franz Hirtzberger Singerriedel Riesling Smaragd,95 ,2018 
Georg Breuer Rudesheimer Berg Schlossberg Riesling,94 ,2018 
Weingut Wittmann Morstein Riesling Grosses Gewachs,94 ,2018 
Schafer-Frohlich Bockenauer Felseneck Riesling Grosses Gewachs,95 ,2018 
Weingut Keller 'Von der Fels Riesling' Trocken,93 ,2018 
Joh. Jos. Prum Wehlener Sonnenuhr Riesling Kabinett,92 ,2018 
Egon Muller 'Scharzhof' Riesling,89 ,2018 
Domaine Zind-Humbrecht Riesling Rangen de Thann Clos Saint Urbain,96 ,2018 
Chateau Ste. Michelle Riesling,88 ,2018 
F.X. Pichler Durnsteiner Kellerberg Riesling Smaragd,95 ,2018 
Grosset Polish Hill Riesling,93 ,2018 
Schloss Johannisberg Grunlack Riesling Spatlese,91 ,2018 
Weingut Robert Weil Kiedricher Grafenberg Riesling Grosses Gewachs,94 ,2018 
F E Trimbach Riesling,90 ,2018 
Joh. Jos. Prum Graacher Himmelreich Riesling Kabinett,92 ,2018 
Weingut Donnhoff Niederhauser Hermannshohle Riesling Spatlese,93 ,2018 
Inniskillin Riesling Icewine,91 ,2018 
Domaine Weinbach Riesling Schlossberg Cuvee Sainte Catherine,94 ,2018 
