Wines,Points,Year
Chateau La Mission Haut-Brion,95 ,2017 
Chateau Angelus,95 ,2017 
Chateau Leoville Barton,94 ,2017 
Chateau Figeac,95 ,2017 
Chateau Pavie,95 ,2017 
Chateau Talbot,91 ,2017 
Chateau Smith Haut Lafitte,94 ,2017 
Chateau Calon-Segur,94 ,2017 
Chateau Lafleur,97 ,2017 
Chateau Lascombes,92 ,2017 
Chateau Pape Clement,94 ,2017 
Chateau Ausone,95 ,2017 
Vieux Chateau Certan,96 ,2017 
Chateau Canon,94 ,2017 
Chateau Gruaud-Larose,92 ,2017 
Chateau Branaire-Ducru,92 ,2017 
Chateau Rauzan-Segla,93 ,2017 
Chateau Giscours,92 ,2017 
Chateau Beychevelle,93 ,2017 
Chateau Grand-Puy-Lacoste,92 ,2017 
Chateau Lafite Rothschild 'Carruades de Lafite',90 ,2017 
Chateau Duhart-Milon,91 ,2017 
Chateau Troplong Mondot,93 ,2017 
Le Pin,95 ,2017 
Chateau La Fleur-Petrus,94 ,2017 
Domaine de Chevalier,93 ,2017 
Chateau La Conseillante,94 ,2017 
Chateau Lagrange,91 ,2017 
Baron Philippe de Rothschild Chateau d'Armailhac,91 ,2017 
Chateau Brane-Cantenac,92 ,2017 
Chateau Cantemerle,89 ,2017 
Chateau Clinet,92 ,2017 
Chateau Haut-Bailly,94 ,2017 
Chateau Mouton Rothschild,97 ,2018 
Chateau Lafite Rothschild,97 ,2018 
Petrus,97 ,2018 
Chateau Margaux,97 ,2018 
Chateau Haut-Brion,97 ,2018 
Chateau d'Yquem,96 ,2018 
Chateau Pontet-Canet,97 ,2018 
Chateau Lynch-Bages,95 ,2018 
Chateau Cheval Blanc,97 ,2018 
Chateau Pichon Longueville Comtesse de Lalande,96 ,2018 
Chateau Cos d'Estournel,96 ,2018 
Chateau Leoville-Las Cases 'Grand Vin de Leoville',97 ,2018 
Chateau Montrose,96 ,2018 
Chateau Palmer,96 ,2018 
Chateau Ducru-Beaucaillou,96 ,2018 
Chateau Leoville Poyferre,95 ,2018 
Chateau Pichon-Longueville au Baron de Pichon-Longueville,96 ,2018 
Chateau La Mission Haut-Brion,96 ,2018 
Chateau Angelus,96 ,2018 
Chateau Leoville Barton,95 ,2018 
Chateau Figeac,97 ,2018 
Chateau Pavie,96 ,2018 
Chateau Talbot,93 ,2018 
Chateau Smith Haut Lafitte,95 ,2018 
Chateau Calon-Segur,95 ,2018 
Chateau Lafleur,98 ,2018 
Chateau Lascombes,92 ,2018 
Chateau Pape Clement,94 ,2018 
Chateau Ausone,97 ,2018 
Vieux Chateau Certan,97 ,2018 
Chateau Canon,96 ,2018 
Chateau Gruaud-Larose,93 ,2018 
Chateau Branaire-Ducru,93 ,2018 
Chateau Rauzan-Segla,95 ,2018 
Chateau Giscours,93 ,2018 
